authors,title,year,volume,issue,start_page,end_page,citations,q75_citations,prop_rank,omit,statistical,individual,population,community,ecosystem,spatial,validation_selection,tools_practices
"FRASER, DF; CERRI, RD",Experimental evaluation of predator-prey relationships in a patchy environment - consequences for habitat use patterns in minnows,1982,63,2,307,313,143,127,0.7922705314009661,keep,no,NA,NA,NA,NA,NA,NA,NA
"PARRISH, JAD; BAZZAZ, FA",Competitive interactions in plant-communities of different successional ages,1982,63,2,314,320,70,127,0.4492753623188406,keep,no,NA,NA,NA,NA,NA,NA,NA
"KARBAN, R",Increased reproductive success at high-densities and predator satiation for periodical cicadas,1982,63,2,321,328,113,127,0.6859903381642513,keep,no,NA,NA,NA,NA,NA,NA,NA
"HIGHSMITH, RC",Induced settlement and metamorphosis of sand dollar (dendraster-excentricus) larvae in predator-free sites - adult sand dollar beds,1982,63,2,329,337,237,127,0.9033816425120773,keep,no,NA,NA,NA,NA,NA,NA,NA
"LEVINGS, SC; FRANKS, NR",Patterns of nest dispersion in a tropical ground ant community,1982,63,2,338,344,150,127,0.8019323671497585,keep,no,NA,NA,NA,NA,NA,NA,NA
"WILLIAMS, JB","Temporal and spatial patterns of abundance of the chydoridae (cladocera) in lake itasca, minnesota",1982,63,2,345,353,40,127,0.23429951690821257,keep,no,NA,NA,NA,NA,NA,NA,NA
"ROUBIK, DW",The ecological impact of nectar-robbing bees and pollinating hummingbirds on a tropical shrub,1982,63,2,354,360,130,127,0.7681159420289855,keep,no,NA,NA,NA,NA,NA,NA,NA
"SCHECK, SH","A comparison of thermoregulation and evaporative water-loss in the hispid cotton rat, sigmodon-hispidus-texianus, from northern kansas and south-central texas",1982,63,2,361,369,23,127,0.11352657004830918,keep,no,NA,NA,NA,NA,NA,NA,NA
"VOGT, KA; GRIER, CC; MEIER, CE; EDMONDS, RL",Mycorrhizal role in net primary production and nutrient cycling in abies-amabilis ecosystems in western washington,1982,63,2,370,380,181,127,0.8599033816425121,keep,no,NA,NA,NA,NA,NA,NA,NA
"EGGERS, DM",Planktivore preference by prey size,1982,63,2,381,390,128,127,0.7584541062801933,keep,no,NA,NA,NA,NA,NA,NA,NA
"BOWERS, MA; BROWN, JH",Body size and coexistence in desert rodents - chance or community structure,1982,63,2,391,400,233,127,0.8985507246376812,keep,no,NA,NA,NA,NA,NA,NA,NA
"PAYNE, RB",Ecological consequences of song matching - breeding success and intraspecific song mimicry in indigo buntings,1982,63,2,401,411,169,127,0.8260869565217391,keep,no,NA,NA,NA,NA,NA,NA,NA
"BROWN, KM",Resource overlap and competition in pond snails - an experimental-analysis,1982,63,2,412,422,111,127,0.6739130434782609,keep,no,NA,NA,NA,NA,NA,NA,NA
"HALVORSON, CH","Rodent occurrence, habitat disturbance, and seed fall in a larch-fir forest",1982,63,2,423,433,25,127,0.13043478260869565,keep,no,NA,NA,NA,NA,NA,NA,NA
"SEBENS, KP","A sexual reproduction in anthopleura-elegantissima (anthozoa, actiniaria) - seasonality and spatial extent of clones",1982,63,2,434,444,85,127,0.5579710144927537,keep,no,NA,NA,NA,NA,NA,NA,NA
"BERTIN, RI",The ecology of sex expression in red buckeye,1982,63,2,445,456,54,127,0.3309178743961353,keep,no,NA,NA,NA,NA,NA,NA,NA
"YOSHIOKA, PM",Role of planktonic and benthic factors in the population-dynamics of the bryozoan membranipora-membranacea,1982,63,2,457,468,149,127,0.7971014492753623,keep,no,NA,NA,NA,NA,NA,NA,NA
"GHOLZ, HL","Environmental limits on above-ground net primary production, leaf-area, and biomass in vegetation zones of the pacific northwest",1982,63,2,469,481,328,127,0.9516908212560387,keep,no,NA,NA,NA,NA,NA,NA,NA
"SCOTT, JR; TRACY, CR; PETTUS, D",A biophysical analysis of daily and seasonal utilization of climate space by a montane snake,1982,63,2,482,493,35,127,0.21256038647342995,keep,no,NA,NA,NA,NA,NA,NA,NA
"FEINSINGER, P; WOLFE, JA; SWARM, LA","Island ecology - reduced hummingbird diversity and the pollination biology of plants, trinidad and tobago, west-indies",1982,63,2,494,506,73,127,0.45652173913043476,keep,no,NA,NA,NA,NA,NA,NA,NA
"STENECK, RS",A limpet-coralline alga association - adaptations and defenses between a selective herbivore and its prey,1982,63,2,507,522,220,127,0.8888888888888888,keep,no,NA,NA,NA,NA,NA,NA,NA
"DOUCE, GK; CROSSLEY, DA","The effect of soil fauna on litter mass-loss and nutrient loss dynamics in arctic tundra at barrow, alaska",1982,63,2,523,537,28,127,0.15458937198067632,keep,no,NA,NA,NA,NA,NA,NA,NA
"KERFOOT, WC",A question of taste - crypsis and warning coloration in fresh-water zooplankton communities,1982,63,2,538,554,95,127,0.5990338164251208,keep,no,NA,NA,NA,NA,NA,NA,NA
"PYKE, GH","Local geographic distributions of bumblebees near crested butte, colorado - competition and community structure",1982,63,2,555,573,138,127,0.782608696,keep,no,NA,NA,NA,NA,NA,NA,NA
"PIELOU, EC",The relation between fi and mi - a reply to michod and anderson,1982,63,2,574,575,3,127,0.024154589371980676,keep,no,NA,NA,NA,NA,NA,NA,NA
"BURGESS, JW; ROULSTON, D; SHAW, E",Territorial aggregation - an ecological spacing strategy in acorn woodpeckers,1982,63,2,575,578,18,127,0.079710145,keep,no,NA,NA,NA,NA,NA,NA,NA
"ELKINS, NZ; STEINBERGER, Y; WHITFORD, WG",Factors affecting the applicability of the aet model for decomposition in arid environments,1982,63,2,579,580,22,127,0.10628019323671498,keep,no,NA,NA,NA,NA,NA,NA,NA
"GRADWOHL, J; GREENBERG, R",The effect of a single species of avian predator on the arthropods of aerial leaf litter,1982,63,2,581,583,64,127,0.4106280193236715,keep,no,NA,NA,NA,NA,NA,NA,NA
"WOODWARD, B",Male persistence and mating success in woodhouses toad (bufo woodhousei),1982,63,2,583,585,49,127,0.28743961352657005,keep,no,NA,NA,NA,NA,NA,NA,NA
"KILLINGBECK, KT; SMITH, DL; MARZOLF, GR",Chemical-changes in tree leaves during decomposition in a tallgrass prairie stream,1982,63,2,585,589,11,127,0.057971014492753624,keep,no,NA,NA,NA,NA,NA,NA,NA
"LANDE, R",A quantitative genetic theory of life-history evolution,1982,63,3,607,615,756,127,0.9855072463768116,keep,no,NA,NA,NA,NA,NA,NA,NA
"TALLAMY, DW; DENNO, RF","Life-history trade-offs in gargaphia-solani (hemiptera, tingidae) - the cost of reproduction",1982,63,3,616,620,100,127,0.6231884057971014,keep,no,NA,NA,NA,NA,NA,NA,NA
"MELILLO, JM; ABER, JD; Muratore, JF",Nitrogen and lignin control of hardwood leaf litter decomposition dynamics,1982,63,3,621,626,1949,127,1,keep,no,NA,NA,NA,NA,NA,NA,NA
"SHANK, CC",Age-sex differences in the diets of wintering rocky-mountain bighorn sheep,1982,63,3,627,633,67,127,0.42995169082125606,keep,no,NA,NA,NA,NA,NA,NA,NA
"STRAUSS, RE",Statistical significance of species clusters in association analysis,1982,63,3,634,639,62,127,0.40096618357487923,keep,yes,NA,NA,NA,NA,NA,NA,NA
"BOOKMAN, PA; MACK, RN",Root interaction between bromus-tectorum and poa-pratensis - a 3-dimensional analysis,1982,63,3,640,646,33,127,0.1859903381642512,keep,no,NA,NA,NA,NA,NA,NA,NA
"JORDAN, CF",The nutrient balance of an amazonian rain-forest,1982,63,3,647,654,106,127,0.6521739130434783,keep,no,NA,NA,NA,NA,NA,NA,NA
"LENSKI, RE; SERVICE, PM",The statistical-analysis of population-growth rates calculated from schedules of survivorship and fecundity,1982,63,3,655,662,82,127,0.5410628019323671,keep,yes,NA,NA,NA,NA,NA,NA,NA
"STEPHENSON, AG",The role of the extrafloral nectaries of catalpa-speciosa in limiting herbivory and increasing fruit production,1982,63,3,663,669,117,127,0.6980676328502415,keep,no,NA,NA,NA,NA,NA,NA,NA
"DAY, FP",Litter decomposition rates in the seasonally flooded great dismal swamp,1982,63,3,670,678,119,127,0.7101449275362319,keep,no,NA,NA,NA,NA,NA,NA,NA
"ARMSTRONG, RA",A quantitative theory of reproductive effort in rhizomatous perennial plants,1982,63,3,679,686,25,127,0.13043478260869565,keep,no,NA,NA,NA,NA,NA,NA,NA
"REICHMAN, OJ; WHITHAM, TG; RUFFNER, GA",Adaptive geometry of burrow spacing in 2 pocket gopher populations,1982,63,3,687,695,120,127,0.7198067632850241,keep,no,NA,NA,NA,NA,NA,NA,NA
"KAREIVA, P",Exclusion experiments and the competitive release of insects feeding on collards,1982,63,3,696,704,35,127,0.21256038647342995,keep,no,NA,NA,NA,NA,NA,NA,NA
"HILS, MH; VANKAT, JL",Species removals from a 1st-year old-field plant community,1982,63,3,705,711,85,127,0.5579710144927537,keep,no,NA,NA,NA,NA,NA,NA,NA
"ROUBIK, DW; ACKERMAN, JD; COPENHAVER, C; SMITH, BH","Stratum, tree, and flower selection by tropical bees - implications for the reproductive-biology of outcrossing cochlospermum-vitifolium in panama",1982,63,3,712,720,19,127,0.086956522,keep,no,NA,NA,NA,NA,NA,NA,NA
"ZARET, TM",The stability-diversity controversy - a test of hypotheses,1982,63,3,721,731,39,127,0.22705314009661837,keep,no,NA,NA,NA,NA,NA,NA,NA
"ALLEN, EB",Water and nutrient competition between salsola-kali and 2 native grass species (agropyron-smithii and bouteloua-gracilis),1982,63,3,732,741,34,127,0.1956521739130435,keep,no,NA,NA,NA,NA,NA,NA,NA
"SALZMAN, AG",The selective importance of heat-stress in gull nest location,1982,63,3,742,751,54,127,0.3309178743961353,keep,no,NA,NA,NA,NA,NA,NA,NA
"MILTON, K; WINDSOR, DM; MORRISON, DW; ESTRIBI, MA",Fruiting phenologies of 2 neotropical ficus species,1982,63,3,752,762,114,127,0.6908212560386473,keep,no,NA,NA,NA,NA,NA,NA,NA
"CLARK, DA","Foraging behavior of a vertebrate omnivore (rattus-rattus) - meal structure, sampling, and diet breadth",1982,63,3,763,772,65,127,0.42028985507246375,keep,no,NA,NA,NA,NA,NA,NA,NA
"HERRERA, CM",Seasonal-variation in the quality of fruits and diffuse coevolution between plants and avian dispersers,1982,63,3,773,785,199,127,0.8792270531400966,keep,no,NA,NA,NA,NA,NA,NA,NA
"SIH, A","Foraging strategies and the avoidance of predation by an aquatic insect, notonecta-hoffmanni",1982,63,3,786,796,396,127,0.961352657,keep,no,NA,NA,NA,NA,NA,NA,NA
"DOUST, JL; CAVERS, PB","Sex and gender dynamics in jack-in-the-pulpit, arisaema-triphyllum (araceae)",1982,63,3,797,808,52,127,0.3140096618357488,keep,no,NA,NA,NA,NA,NA,NA,NA
"SCHOENER, TW; SCHOENER, A",Intraspecific variation in home-range size in some anolis lizards,1982,63,3,809,823,156,127,0.8115942028985508,keep,no,NA,NA,NA,NA,NA,NA,NA
"WALLACE, JB; ROSS, DH; MEYER, JL",Seston and dissolved organic-carbon dynamics in a southern appalachian stream,1982,63,3,824,838,112,127,0.6811594202898551,keep,no,NA,NA,NA,NA,NA,NA,NA
"STANTON, ML",Searching in a patchy environment - foodplant selection by colias-periphyle butterflies,1982,63,3,839,853,78,127,0.5072463768115942,keep,no,NA,NA,NA,NA,NA,NA,NA
"PIEROTTI, R",Habitat selection and its effect on reproductive output in the herring gull in newfoundland,1982,63,3,854,868,94,127,0.5942028985507246,keep,no,NA,NA,NA,NA,NA,NA,NA
"LEVINTON, JS",The body size prey size hypothesis - the adequacy of body size as a vehicle for character displacement,1982,63,3,869,872,52,127,0.3140096618357488,keep,no,NA,NA,NA,NA,NA,NA,NA
"ALATALO, RV",Bird species distributions in the galapagos and other archipelagoes - competition or chance,1982,63,4,881,887,27,127,0.1497584541062802,keep,no,NA,NA,NA,NA,NA,NA,NA
"CARNES, BA; SLADE, NA",Some comments on niche analysis in canonical space,1982,63,4,888,893,81,127,0.533816425,keep,yes,NA,NA,NA,NA,NA,NA,NA
"GROSBERG, RK",Inter-tidal zonation of barnacles - the influence of planktonic zonation of larvae on vertical-distribution of adults,1982,63,4,894,899,245,127,0.9082125603864735,keep,no,NA,NA,NA,NA,NA,NA,NA
"DRITSCHILO, W; ERWIN, TL",Responses in abundance and diversity of cornfield carabid communities to differences in farm practices,1982,63,4,900,904,47,127,0.2632850241545894,keep,no,NA,NA,NA,NA,NA,NA,NA
"SEMLITSCH, RD; CALDWELL, JP","Effects of density on growth, metamorphosis, and survivorship in tadpoles of scaphiopus-holbrooki",1982,63,4,905,911,153,127,0.8067632850241546,keep,no,NA,NA,NA,NA,NA,NA,NA
"OLIVE, CW",Behavioral-response of a sit-and-wait predator to spatial variation in foraging gain,1982,63,4,912,920,101,127,0.6304347826086957,keep,no,NA,NA,NA,NA,NA,NA,NA
"GROSS, KL; WERNER, PA",Colonizing abilities of biennial plant-species in relation to ground cover - implications for their distributions in a successional sere,1982,63,4,921,931,301,127,0.9420289855072463,keep,no,NA,NA,NA,NA,NA,NA,NA
"SCHEMSKE, DW",Ecological correlates of a neotropical mutualism - ant assemblages at costus extrafloral nectaries,1982,63,4,932,941,57,127,0.3526570048309179,keep,no,NA,NA,NA,NA,NA,NA,NA
"GOLDBERG, DE","The distribution of evergreen and deciduous trees relative to soil type - an example from the sierra-madre, mexico, and a general-model",1982,63,4,942,951,78,127,0.5072463768115942,keep,no,NA,NA,NA,NA,NA,NA,NA
"SMITH, KG",Drought-induced changes in avian community structure along a montane sere,1982,63,4,952,961,52,127,0.3140096618357488,keep,no,NA,NA,NA,NA,NA,NA,NA
"DONSELMAN, HM; FLINT, HL",Genecology of eastern redbud (cercis-canadensis),1982,63,4,962,971,26,127,0.14251207729468598,keep,no,NA,NA,NA,NA,NA,NA,NA
"ZUCKER, WV",How aphids choose leaves - the roles of phenolics in host selection by a galling aphid,1982,63,4,972,981,111,127,0.6739130434782609,keep,no,NA,NA,NA,NA,NA,NA,NA
"ABRAHAMSON, WG; CASWELL, H","On the comparative allocation of biomass, energy, and nutrients in plants",1982,63,4,982,991,176,127,0.8405797101449275,keep,no,NA,NA,NA,NA,NA,NA,NA
"VANHORNE, B",Niches of adult and juvenile deer mice (peromyscus-maniculatus) in seral stages of coniferous forest,1982,63,4,992,1003,108,127,0.6642512077294686,keep,no,NA,NA,NA,NA,NA,NA,NA
"SMITH, DW; COOPER, SD",Competition among cladocera,1982,63,4,1004,1015,78,127,0.5072463768115942,keep,no,NA,NA,NA,NA,NA,NA,NA
"SHERRY, TW; MCDADE, LA",Prey selection and handling in 2 neotropical hover-gleaning birds,1982,63,4,1016,1028,57,127,0.3526570048309179,keep,no,NA,NA,NA,NA,NA,NA,NA
"LECHOWICZ, MJ; SHAVER, GR",A multivariate approach to the analysis of factorial fertilization experiments in alaskan arctic tundra,1982,63,4,1029,1038,26,127,0.14251207729468598,keep,yes,NA,NA,NA,NA,NA,NA,NA
"STRONG, DR",Harmonious coexistence of hispine beetles on heliconia in experimental and natural communities,1982,63,4,1039,1049,87,127,0.5700483091787439,keep,no,NA,NA,NA,NA,NA,NA,NA
"ROGERS, RS",Early spring herb communities in mesophytic forests of the great-lakes region,1982,63,4,1050,1063,48,127,0.2753623188405797,keep,no,NA,NA,NA,NA,NA,NA,NA
"CROWLEY, PH; JOHNSON, DM",Habitat and seasonality as niche axes in an odonate community,1982,63,4,1064,1077,60,127,0.38405797101449274,keep,no,NA,NA,NA,NA,NA,NA,NA
"BART, J; ROBSON, DS",Estimating survivorship when the subjects are visited periodically,1982,63,4,1078,1090,190,127,0.8719806763285024,keep,yes,0,1,0,0,0,0,0
"TSUKADA, M",Cryptomeria-japonica - glacial refugia and late-glacial and post-glacial migration,1982,63,4,1091,1105,89,127,0.5748792270531401,keep,no,NA,NA,NA,NA,NA,NA,NA
"SCHLUTER, D",Seed and patch selection by galapagos ground finches - relation to foraging efficiency and food-supply,1982,63,4,1106,1120,77,127,0.48792270531400966,keep,no,NA,NA,NA,NA,NA,NA,NA
"COLEMAN, BD; MARES, MA; WILLIG, MR; HSIEH, YH","Randomness, area, and species richness",1982,63,4,1121,1133,303,127,0.9468599033816425,keep,no,NA,NA,NA,NA,NA,NA,NA
"BONNICKSEN, TM; STONE, EC",Reconstruction of a pre-settlement giant sequoia-mixed conifer forest community using the aggregation approach,1982,63,4,1134,1148,78,127,0.5072463768115942,keep,no,NA,NA,NA,NA,NA,NA,NA
"TONN, WM; MAGNUSON, JJ",Patterns in the species composition and richness of fish assemblages in northern wisconsin lakes,1982,63,4,1149,1166,456,127,0.9758454106280193,keep,no,NA,NA,NA,NA,NA,NA,NA
"VANDERMEER, J",To be rare is to be chaotic,1982,63,4,1167,1168,17,127,0.072463768,keep,no,NA,NA,NA,NA,NA,NA,NA
"WASER, NM; PRICE, MV",A comparison of pollen and fluorescent dye carry-over by natural pollinators of ipomopsis-aggregata (polemoniaceae),1982,63,4,1168,1172,126,127,0.7439613526570048,keep,no,NA,NA,NA,NA,NA,NA,NA
"VANHORNE, B; FORD, RG",Niche breadth calculation based on discriminant-analysis,1982,63,4,1172,1174,29,127,0.1642512077294686,keep,yes,NA,NA,NA,NA,NA,NA,NA
"DUESER, RD; SHUGART, HH",Niche breadth calculation based on discriminant-analysis - reply,1982,63,4,1174,1175,3,127,0.024154589371980676,keep,yes,NA,NA,NA,NA,NA,NA,NA
"EDWARDS, DC; CONOVER, DO; SUTTER, F",Mobile predators and the structure of marine inter-tidal communities,1982,63,4,1175,1180,73,127,0.45652173913043476,keep,no,NA,NA,NA,NA,NA,NA,NA
"MENGE, BA",Mobile predators and the structure of marine inter-tidal communities - reply,1982,63,4,1180,1184,21,127,0.096618357,keep,no,NA,NA,NA,NA,NA,NA,NA
"FROST, TM; DENAGY, GS; GILBERT, JJ",Population-dynamics and standing biomass of the fresh-water sponge spongilla-lacustris,1982,63,5,1203,1210,47,127,0.2632850241545894,keep,no,NA,NA,NA,NA,NA,NA,NA
"LENSKI, RE",Effects of forest cutting on 2 carabus species - evidence for competition for food,1982,63,5,1211,1217,62,127,0.40096618357487923,keep,no,NA,NA,NA,NA,NA,NA,NA
"CASWELL, H",Optimal life histories and the maximization of reproductive value - a general theorem for complex life-cycles,1982,63,5,1218,1222,79,127,0.5241545893719807,keep,no,NA,NA,NA,NA,NA,NA,NA
"CASWELL, H",Stable-population structure and reproductive value for populations with complex life-cycles,1982,63,5,1223,1231,76,127,0.4758454106280193,keep,no,NA,NA,NA,NA,NA,NA,NA
"KEPHART, DG; ARNOLD, SJ",Garter snake diets in a fluctuating environment - a 7-year study,1982,63,5,1232,1236,78,127,0.5072463768115942,keep,no,NA,NA,NA,NA,NA,NA,NA
"WEINER, J",A neighborhood model of annual-plant interference,1982,63,5,1237,1241,187,127,0.8647342995169082,keep,yes,0,0,1,0,0,0,0
"ABRAMSKY, Z; SELLAH, C",Competition and the role of habitat selection in gerbillus-allenbyi and meriones-tristrami - a removal experiment,1982,63,5,1242,1247,21,127,0.096618357,keep,no,NA,NA,NA,NA,NA,NA,NA
"SMITH, EP; ZARET, TM",Bias in estimating niche overlap,1982,63,5,1248,1253,180,127,0.8526570048309179,keep,yes,0,0,1,0,0,0,0
"BANKS, HH; NIGHSWANDER, JE",The application of a new method for the determination of particle deposition onto a lake,1982,63,5,1254,1258,3,127,0.024154589371980676,keep,no,NA,NA,NA,NA,NA,NA,NA
"PARKER, WC; PALLARDY, SG; HINCKLEY, TM; TESKEY, RO",Seasonal-changes in tissue water relations of 3 woody species of the quercus-carya forest type,1982,63,5,1259,1267,92,127,0.5893719806763285,keep,no,NA,NA,NA,NA,NA,NA,NA
"RUDOLPH, SG",Foraging strategies of american kestrels during breeding,1982,63,5,1268,1276,65,127,0.42028985507246375,keep,no,NA,NA,NA,NA,NA,NA,NA
"CHRISTIE, EK; DETLING, JK",Analysis of interference between c-3 and c-4 grasses in relation to temperature and soil-nitrogen supply,1982,63,5,1277,1284,46,127,0.2560386473429952,keep,no,NA,NA,NA,NA,NA,NA,NA
"DENOYELLES, F; KETTLE, WD; SINN, DE","The responses of plankton communities in experimental ponds to atrazine, the most heavily used pesticide in the united-states",1982,63,5,1285,1293,222,127,0.893719807,keep,no,NA,NA,NA,NA,NA,NA,NA
"HEITHAUS, ER; STASHKO, E; ANDERSON, PK","Cumulative effects of plant animal interactions on seed production by bauhinia-ungulata, a neotropical legume",1982,63,5,1294,1302,86,127,0.5652173913043478,keep,no,NA,NA,NA,NA,NA,NA,NA
"THOMPSON, SD",Microhabitat utilization and foraging behavior of bipedal and quadrupedal heteromyid rodents,1982,63,5,1303,1312,121,127,0.7294685990338164,keep,no,NA,NA,NA,NA,NA,NA,NA
"THOMPSON, SD",Structure and species composition of desert heteromyid rodent species assemblages - effects of a simple habitat manipulation,1982,63,5,1313,1321,90,127,0.5821256038647343,keep,no,NA,NA,NA,NA,NA,NA,NA
"MERRITT, RW; ROSS, DH; LARSON, GJ","Influence of stream temperature and seston on the growth and production of overwintering larval black flies (diptera, simuliidae)",1982,63,5,1322,1331,57,127,0.3526570048309179,keep,no,NA,NA,NA,NA,NA,NA,NA
"FOX, BJ",Fire and mammalian secondary succession in an australian coastal heath,1982,63,5,1332,1341,265,127,0.927536232,keep,no,NA,NA,NA,NA,NA,NA,NA
"RISSER, PG; PARTON, WJ",Ecosystem analysis of the tallgrass prairie - nitrogen-cycle,1982,63,5,1342,1351,102,127,0.6376811594202898,keep,no,NA,NA,NA,NA,NA,NA,NA
"FRANK, PW","Effects of winter feeding on limpets by black oystercatchers, haematopus-bachmani",1982,63,5,1352,1362,77,127,0.48792270531400966,keep,no,NA,NA,NA,NA,NA,NA,NA
"LEE, TD; BAZZAZ, FA","Regulation of fruit and seed production in an annual legume, cassia-fasciculata",1982,63,5,1363,1373,201,127,0.8840579710144928,keep,no,NA,NA,NA,NA,NA,NA,NA
"LEE, TD; BAZZAZ, FA","Regulation of fruit maturation pattern in an annual legume, cassia-fasciculata",1982,63,5,1374,1388,104,127,0.6473429951690821,keep,no,NA,NA,NA,NA,NA,NA,NA
"SLAGSVOLD, T","Clutch size, nest size, and hatching asynchrony in birds - experiments with the fieldfare (turdus-pilaris)",1982,63,5,1389,1399,127,127,0.751207729,keep,no,NA,NA,NA,NA,NA,NA,NA
"HALLETT, JG",Habitat selection and the community matrix of a desert small-mammal fauna,1982,63,5,1400,1410,57,127,0.3526570048309179,keep,no,NA,NA,NA,NA,NA,NA,NA
"HOOPER, FF; MORRIS, LS",Mat water phosphorus exchange in an acid bog lake,1982,63,5,1411,1421,7,127,0.048309179,keep,no,NA,NA,NA,NA,NA,NA,NA
"STAPANIAN, MA",Evolution of fruiting strategies among fleshy-fruited plant-species of eastern kansas,1982,63,5,1422,1431,60,127,0.38405797101449274,keep,no,NA,NA,NA,NA,NA,NA,NA
"STAPANIAN, MA",A model for fruiting display - seed dispersal by birds for mulberry trees,1982,63,5,1432,1443,35,127,0.21256038647342995,keep,no,NA,NA,NA,NA,NA,NA,NA
"ALLAN, JD",The effects of reduction in trout density on the invertebrate community of a mountain stream,1982,63,5,1444,1455,178,127,0.8454106280193237,keep,no,NA,NA,NA,NA,NA,NA,NA
"VERRY, ES; TIMMONS, DR",Waterborne nutrient flow through an upland peatland watershed in minnesota,1982,63,5,1456,1467,117,127,0.6980676328502415,keep,no,NA,NA,NA,NA,NA,NA,NA
"PIMM, SL; PIMM, JW","Resource use, competition, and resource availability in hawaiian honeycreepers",1982,63,5,1468,1480,65,127,0.42028985507246375,keep,no,NA,NA,NA,NA,NA,NA,NA
"MCCLAUGHERTY, CA; ABER, JD; MELILLO, JM",The role of fine roots in the organic-matter and nitrogen budgets of 2 forested ecosystems,1982,63,5,1481,1490,454,127,0.9710144927536232,keep,no,NA,NA,NA,NA,NA,NA,NA
"KENAGY, GJ; STEVENSON, RD",Role of body-temperature in the seasonality of daily activity in tenebrionid beetles of eastern washington,1982,63,5,1491,1503,41,127,0.24154589371980675,keep,no,NA,NA,NA,NA,NA,NA,NA
"SCHLUTER, D",Distributions of galapagos ground finches along an altitudinal gradient - the importance of food-supply,1982,63,5,1504,1517,59,127,0.3743961352657005,keep,no,NA,NA,NA,NA,NA,NA,NA
"KNEIB, RT; STIVEN, AE","Benthic invertebrate responses to size and density manipulations of the common mummichog, fundulus-heteroclitus, in an inter-tidal salt-marsh",1982,63,5,1518,1532,90,127,0.5821256038647343,keep,no,NA,NA,NA,NA,NA,NA,NA
"RUNKLE, JR",Patterns of disturbance in some old-growth mesic forests of eastern north-america,1982,63,5,1533,1546,757,127,0.9903381642512077,keep,no,NA,NA,NA,NA,NA,NA,NA
"HINES, AH; PEARSE, JS","Abalones, shells, and sea otters - dynamics of prey populations in central california",1982,63,5,1547,1560,76,127,0.4758454106280193,keep,no,NA,NA,NA,NA,NA,NA,NA
"ROBERTSON, GP",Factors regulating nitrification in primary and secondary succession,1982,63,5,1561,1573,134,127,0.7777777777777778,keep,no,NA,NA,NA,NA,NA,NA,NA
"FEINSINGER, P; SWARM, LA","Ecological release, seasonal-variation in food-supply, and the hummingbird amazilia-tobaci on trinidad and tobago",1982,63,5,1574,1587,48,127,0.2753623188405797,keep,no,NA,NA,NA,NA,NA,NA,NA
"SCHMITT, RJ",Consequences of dissimilar defenses against predation in a subtidal marine community,1982,63,5,1588,1601,50,127,0.2946859903381642,keep,no,NA,NA,NA,NA,NA,NA,NA
"WEIS, AE",Use of a symbiotic fungus by the gall maker asteromyia-carbonifera to inhibit attack by the parasitoid torymus-capite,1982,63,5,1602,1605,40,127,0.23429951690821257,keep,no,NA,NA,NA,NA,NA,NA,NA
"COLE, LC",Correction,1982,63,5,1605,1606,0,127,0.004830918,omit,no,NA,NA,NA,NA,NA,NA,NA
"REAL, L; OTT, J; SILVERFINE, E",On the tradeoff between the mean and the variance in foraging - effect of spatial-distribution and color preference,1982,63,6,1617,1623,131,127,0.7729468599033816,keep,no,NA,NA,NA,NA,NA,NA,NA
"MUSHINSKY, HR; HEBRARD, JJ; VODOPICH, DS",Ontogeny of water snake foraging ecology,1982,63,6,1624,1629,165,127,0.821256039,keep,no,NA,NA,NA,NA,NA,NA,NA
"STILING, PD; STRONG, DR","Egg density and the intensity of parasitism in prokelisia-marginata (homoptera, delphacidae)",1982,63,6,1630,1635,58,127,0.3671497584541063,keep,no,NA,NA,NA,NA,NA,NA,NA
"WIEDER, RK; LANG, GE",A critique of the analytical methods used in examining decomposition data obtained from litter bags,1982,63,6,1636,1642,699,127,0.9806763285024155,keep,yes,0,0,0,1,0,0,0
"GAUCH, HG",Noise-reduction by eigenvector ordinations,1982,63,6,1643,1649,180,127,0.8526570048309179,keep,yes,0,0,1,0,0,0,0
"NOBEL, PS",Low-temperature tolerance and cold hardening of cacti,1982,63,6,1650,1656,48,127,0.2753623188405797,keep,no,NA,NA,NA,NA,NA,NA,NA
"FEDER, ME; LYNCH, JF","Effects of latitude, season, elevation, and microhabitat on field body temperatures of neotropical and temperate zone salamanders",1982,63,6,1657,1664,61,127,0.391304348,keep,no,NA,NA,NA,NA,NA,NA,NA
"FEDER, ME","Thermal ecology of neotropical lungless salamanders (amphibia, plethodontidae) - environmental temperatures and behavioral-responses",1982,63,6,1665,1674,51,127,0.2995169082125604,keep,no,NA,NA,NA,NA,NA,NA,NA
"SMITH, EP","Niche breadth, resource availability, and inference",1982,63,6,1675,1681,124,127,0.7342995169082126,keep,yes,NA,NA,NA,NA,NA,NA,NA
"BREDEN, F; KELLY, CH",The effect of conspecific interactions on metamorphosis in bufo-americanus,1982,63,6,1682,1689,29,127,0.1642512077294686,keep,no,NA,NA,NA,NA,NA,NA,NA
"MEAGHER, TR; ANTONOVICS, J","The population biology of chamaelirium-luteum, a dioecious member of the lily family - life-history studies",1982,63,6,1690,1700,120,127,0.7198067632850241,keep,no,NA,NA,NA,NA,NA,NA,NA
"MEAGHER, TR","The population biology of chamaelirium-luteum, a dioecious member of the lily family - 2-sex population projections and stable-population structure",1982,63,6,1701,1711,55,127,0.33816425120772947,keep,no,NA,NA,NA,NA,NA,NA,NA
